30/07/2017 11:53:37,,,,,,,,,,,,,,,,,,,
Type,Welsh Type,Latin,English,Welsh,Plural,Gender,unknown,unknown,Category,SubCategory,Welsh Details,English Details,Wiki Link,Picture Credit,Picture Link,Visitor,Rare,Location,unused
bird,adar,PODICIPEDIFORMES,,,,,,,,,,,,,,,,,
bird,adar,9,,,,,,,,,,,,,,,,,
bird,adar,PODICIPEDIDAE,GREBES,GWYACHOD,,,,,,,,,,,,,,,
bird,adar,Tachybaptus ruficollis,little grebe,gwyach fach,gwyachod bach,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,Mike Marshall,https://drive.google.com/open?id=0BwyoF0liwUlQaTRCNHFRV0NMbFk,,,UK,
bird,adar,Tachybaptus novaehollandiae,Australian dabchick,gwyach fach Awstralia,gwyachod bach Awstralia,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Tachybaptus pelzelnii,Madagascar little grebe,gwyach fach Madagasgar,gwyachod bach Madagasgar,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Tachybaptus rufolavatus,Delacour's little grebe,gwyach fach Delacour,gwyachod bach Delacour,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podilymbus podiceps,pied-billed grebe,gwyach ylfinfraith,gwyachod gylfinfrith,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podilymbus gigas,Atitlan grebe,gwyach Atitlan,gwyachod Atitlan,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Rollandia rolland,white-tufted grebe,gwyach gribwen,gwyachod cribwyn,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Rollandia micropterum,short-winged grebe,gwyach adeinfer,gwyachod adeinfyr,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podiceps major,great grebe,gwyach fawr,gwyachod mawrion,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podiceps poliocephalus,hoary-headed grebe,gwyach benllwyd,gwyachod penllwyd,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podiceps rufopectus,New Zealand dabchick,gwyach Seland Newydd,gwyachod Seland Newydd,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podiceps dominicus,least grebe,gwyach fach America,gwyachod bach America,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podiceps grisegena,red-necked grebe,gwyach yddfgoch,gwyachod gyddfgoch,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,WINTER,R,UK,
bird,adar,Podiceps cristatus,great crested grebe,gwyach fawr gopog,gwyachod mawr copog,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,Mike Marshall,https://drive.google.com/open?id=0BwyoF0liwUlQV0lsdmNMZWs4bXc,,,UK,
bird,adar,Podiceps auritus,Slavonian grebe,gwyach gorniog,gwyachod corniog,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,Mike Nesbitt,https://drive.google.com/open?id=0BwyoF0liwUlQTzlMRmhFbWRvbVU,WINTER,,UK,
bird,adar,Podiceps nigicollis,black-necked grebe,gwyach yddfddu,gwyachod gyddfddu,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,WINTER,,UK,
bird,adar,Podiceps occipitalis,silvery grebe,gwyach ariannaidd,gwyacodh ariannaidd,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podiceps taczanowskii,puna grebe,gwyach pwna,gwyachod pwna,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Podiceps gallardoi,hooded grebe,gwyach gycyllog,gwyachod cycyllog,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Aechmophorus occidentalis,western grebe,gwyach y Gorllewin,gwyachod y Gorllewin,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,Aechmophorus clarkii,Clark's grebe,gwyach Clark,gwyachod Clark,b,,,PODICIPEDIFORMES,PODICIPEDIDAE,,,,,,,,,
bird,adar,PROCELLARIFORMES,,,,,,,,,,,,,,,,,
bird,adar,10,,,,,,,,,,,,,,,,,
bird,adar,DIOMEDEIDAE,ALBATROSSES,ALBATROSIAID,,,,,,,,,,,,,,,
bird,adar,Diomedea exulans,wandering albatross,albatros crwydrol,albatrosiaid crwydrol,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea epomorpha,royal albatross,albatros brenhinol,albatrosiaid brenhinol,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
bird,adar,Diomedea irrorata,waved albatross,albatros tonnog,albatrosiaid tonnog,g,,,PROCELLARIFORMES,DIOMEDEIDAE,,,,,,,,,
